Title,URL,Site,Short Intro,Category,Sub-Category,Language,Rating,Duration,is_paid,level
Coding for Everyone: C and C++ Specialization,https://www.coursera.org/specializations/coding-for-everyone,Coursera,"Beginner to Programmer — Learn to Code in C & C++. Gain a deep understanding of computer programming by learning to code, debug, and solve complex problems with C and C++.",computer science,software development,English,4.4,6.0,,
Developing Applications with Google Cloud Specialization,https://www.coursera.org/specializations/developing-apps-gcp,Coursera,"Design, Develop, and Deploy Apps on Google Cloud. Build secure, scalable, and intelligent cloud-native applications. ",computer science,software development,English,4.7,6.0,,
Real-World Product Management Specialization,https://www.coursera.org/specializations/real-world-product-management,Coursera,"Sponsored by AWS.. Is product management right for you? How do you get your first, or next, product management role? Learn from Nancy Wang, one of the youngest general managers and director of product and engineering at AWS, and 20 other real, full-time product leaders, including CEOs, who make hiring and promotion decisions across the industry! Learn from the same playbooks as Amazon, Google, Meta, Microsoft, and startups! Hone your skills with real-world projects and hundreds of real PM interview questions. ACE® approved—upon completion, you can earn up to 6 college credits.",computer science,design and product,English,4.5,4.0,,
Pricing Strategy Optimization Specialization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,Coursera,Set prices the way the experts do. Master pricing strategies used by global consulting and academic leaders.,business,marketing,English,4.8,4.0,,
Networking in Google Cloud Specialization,https://www.coursera.org/specializations/networking-google-cloud-platform,Coursera,"Launch your career in Cloud Networking. Design, develop, and manage cloud networking solutions to drive business objectives.",information technology,networking,English,4.8,6.0,,
Academic English: Writing Specialization,https://www.coursera.org/specializations/academic-english,Coursera,Transform Your Writing Skills. Prepare for college-level writing and research in just four courses.,social sciences,education,English,4.8,6.0,,
Introduction to Cyber Security Specialization,https://www.coursera.org/specializations/intro-cyber-security,Coursera,Cyber Security. An introduction to modern information and system protection technology and methods.,computer science,computer security and networks,English,4.7,4.0,,
Business Data Management and Communication Specialization,https://www.coursera.org/specializations/business-data-management-communication,Coursera,"Discover and discern the value of information. Learners will be able to work with data, obtain valuable information, and gauge its economic utility. ",data science,data analysis,English,4.9,6.0,,
Intellectual Property Law Specialization,https://www.coursera.org/specializations/introduction-intellectual-property,Coursera,Become fluent in the rules of the new economy. Learn how to use intellectual property law to protect and maximize the value of your innovations,business,business strategy,English,4.8,4.0,,
The Singer Songwriter Specialization,https://www.coursera.org/specializations/singer-songwriter,Coursera,"Write, perform, and record original music. Learn how to transform your ideas and emotions into songs that are uniquely you",arts and humanities,music and art,English,4.8,5.0,,
AI for Medicine Specialization,https://www.coursera.org/specializations/ai-for-medicine,Coursera,,data science,machine learning,English,4.7,3.0,,
